ACO,BMType,Count,RA_2000,Dec_2000,Redshift,Richness,D_class,Mag_10,GLON_2000,GLAT_2000
1,III,51,1.8999999999999995,16.5,.1249,1,5,17.1,107.96770202019289,-45.094205413788984
2,II,72,2.1,-19.633333333333333,,1,6,17.3,67.8812392609927,-77.61265198231719
3,II:,65,2.3249999999999997,4.016666666666667,,1,5,17.0,103.23818894466348,-57.23507067800868
4,III,55,2.3499999999999996,6.766666666666667,,1,6,17.8,104.70636203906298,-54.61070034125728
5,,66,2.575,33.083333333333336,,1,5,17.1,113.08384396034428,-29.000524818094473
6,II-III,116,2.6249999999999996,17.683333333333334,,2,6,17.5,109.29700297293759,-44.10190052532838
7,II-III,55,2.9249999999999994,32.4,.1073,1,5,17.1,113.27562461500179,-29.72555744123317
8,III,76,3.0499999999999994,-11.183333333333334,,1,5,17.2,90.99892972940206,-71.57921483334458
9,II-III:,55,3.0999999999999996,9.45,,1,6,18.0,107.09361770101245,-52.217168730555365
10,III,88,3.2249999999999996,-5.983333333333333,,2,5,17.2,97.76974140048058,-66.95337216239419
11,III:,129,3.1749999999999994,-16.433333333333334,,2,5,17.2,80.95560323689983,-76.03996119937926
12,III,112,3.3499999999999996,-7.6,,2,5,17.2,96.40473257119571,-68.49010340842375
13,II:,92,3.3999999999999995,-19.5,,2,5,16.6,72.25345202317705,-78.44771747177829
14,III:,35,3.799999999999999,-23.883333333333333,.0640,0,3,15.2,52.5797024283814,-81.20627397462283
15,II-III,35,3.799999999999999,-26.016666666666666,.121,0,6,17.4,38.69761151220004,-81.8234837861479
16,III:,86,4.2,6.733333333333333,.0838,2,5,17.0,107.77630633561837,-55.115908497962316
17,I-II,62,4.249999999999999,8.783333333333333,,1,6,17.6,108.65676939441428,-53.13124336571367
18,,41,4.275,-2.783333333333333,,0,5,17.1,102.81898136759001,-64.30587361610979
19,III,102,4.725,-6.183333333333334,,2,6,17.8,101.19911478237393,-67.67169653531164
20,II-III:,54,4.9,-22.616666666666667,,1,5,17.1,63.20230735475254,-81.4887702990656
21,I:,56,5.124999999999999,28.616666666666667,.0948,1,4,16.2,114.76187578445303,-33.7638037878013
22,I,141,5.174999999999999,-25.7,.1432,3,6,17.5,42.92713018180862,-82.97243149890403
23,,45,5.449999999999999,-0.8833333333333333,.1052,0,5,17.0,106.54208104947342,-62.80813986279097
24,III,127,5.624999999999999,23.283333333333335,.1338,2,6,17.5,114.35891887672196,-39.10622129421341
25,III,78,5.7749999999999995,-0.15,,1,6,17.8,107.61068884304318,-62.17582203189463
26,,129,5.825,36.833333333333336,,2,6,17.4,116.68702828996354,-25.696985424176145
27,,40,6.199999999999999,-20.7,,0,5,16.5,78.08971116334385,-81.150430633876
28,III:,129,6.299999999999999,8.116666666666667,,2,6,17.6,111.78841641320336,-54.18641091541502
29,,46,6.749999999999999,38.55,,0,6,17.5,117.70140502578309,-24.073428018980184
30,III,102,6.674999999999999,-12.183333333333334,,2,6,17.8,100.51694685887537,-73.96876457098385
31,II-III,90,6.775,22.616666666666667,.1596,2,6,17.7,115.6036021140108,-39.90851510585594
32,II-III:,61,6.724999999999999,-9.1,,1,6,18.0,103.9585336193979,-71.06228499088805
