,RAhour,DEdeg,radius,d
0,0.0045,60.933,0.155,2700.0
1,0.0055,50.727,0.156,1953.0
2,0.0085,59.242,0.09,2926.0
3,0.0265,64.625,0.08,774.0
4,0.0373,67.425,0.22,1000.0
5,0.049,67.5,0.76,850.0
6,0.059,-30.0,2.35,250.0
7,0.0568,63.58,0.135,3599.0
8,0.0664,68.565,0.09,1338.0
9,0.097,81.84,0.08,3744.0
10,0.112,65.629,0.085,1700.0
11,0.1268,61.49,0.07,2609.0
12,0.1408,51.724,0.065,1905.0
13,0.1609,62.704,0.105,1600.0
14,0.16,60.467,0.07,10300.0
15,0.1676,61.184,0.115,3100.0
16,0.1778,58.748,0.305,470.0
17,0.179,59.735,0.09,4638.0
18,0.2491,61.471,0.14,5492.0
19,0.2534,68.318,0.165,3233.0
20,0.2575,61.26,0.07,8000.0
21,0.2721,59.962,0.125,5326.0
22,0.295,60.934,0.09,3299.0
23,0.325,55.645,0.22,2301.0
24,0.3402,59.332,0.06,1850.0
25,0.3541,54.827,0.09,2038.0
26,0.3676,61.741,0.115,1430.0
27,0.3677,64.384,0.22,1659.0
28,0.383,51.883,0.12,1908.0
29,0.3938,62.71,0.067,1600.0
30,0.4003,-72.081,0.95,4501.0
31,0.4209,62.602,0.14,1100.0
32,0.418,61.34,0.09,2501.0
33,0.4211,60.382,0.1,5499.0
34,0.428,63.75,0.165,5087.0
35,0.445,64.03,0.17,1123.0
36,0.457,71.422,0.115,1600.0
37,0.4652,60.677,0.12,3100.0
38,0.4823,43.279,0.11,2164.0
39,0.485,62.409,0.095,1800.0
40,0.4905,68.894,0.14,4701.0
41,0.5041,57.931,0.155,1700.0
42,0.5028,60.203,0.155,1685.0
43,0.518,55.275,0.24,1550.0
44,0.5213,63.345,0.08,1861.0
45,0.5267,61.51,0.125,3519.0
46,0.5343,63.181,0.14,2600.0
47,0.5466,61.89,0.095,5500.0
48,0.5484,63.305,0.16,2800.0
49,0.658,61.115,0.12,1300.0
50,0.6627,61.965,0.145,2400.0
51,0.6795,60.855,0.13,4000.0
52,0.6982,64.956,0.055,5053.0
53,0.7102,64.06,0.14,2186.0
54,0.72,61.782,0.18,850.0
55,0.7283,60.152,0.11,4500.0
56,0.731,64.18,0.13,2325.0
57,0.734,52.36,0.15,2203.0
58,0.7512,64.382,0.17,3300.0
59,0.79,85.255,0.57,2000.0
60,0.8053,67.193,0.1,2153.0
61,0.834,64.091,0.11,2400.0
62,0.8455,54.765,0.085,2362.0
63,0.8425,65.965,0.17,810.0
64,0.8488,58.201,0.1,5499.0
65,0.854,44.285,0.2,2154.0
66,0.831,64.14,0.27,2600.0
67,0.8748,64.667,0.14,1517.0
68,0.8795,-26.585,0.31,8912.0
69,0.88,56.63,0.23,2400.0
70,0.883,59.835,0.125,2534.0
71,0.888,61.6,0.21,550.0
72,0.8885,49.48,0.425,750.0
73,0.9,65.797,0.105,2094.0
74,0.9547,62.125,0.11,1841.0
75,0.9605,55.855,0.19,523.0
76,0.9695,68.465,0.32,2000.0
77,1.0185,63.935,0.16,2000.0
78,1.0525,62.787,0.08,1600.0
79,1.055,-70.847,0.235,8603.0
80,1.004,61.46,0.6,3000.0
81,1.109,62.224,0.16,2200.0
82,1.134,65.662,0.09,4126.0
83,1.1405,61.579,0.18,1200.0
84,1.1435,63.118,0.065,12002.0
85,1.199,56.985,0.12,3501.0
86,1.2025,62.258,0.11,1363.0
87,1.215,32.05,1.32,190.0
88,1.2534,60.123,0.14,1650.0
89,1.2664,58.811,0.155,3000.0
90,1.2906,61.3,0.1,1800.0
91,1.3179,60.347,0.1,2075.0
92,1.327,58.28,0.22,2400.0
